Código,Siglas,Denominación,Clasificacion
104,PSC-PSOE,PARTIT DELS SOCIALISTES DE CATALUNYA,Centro izquierda
105,PSE-EE/PSOE,PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA,Centro izquierda
106,PSG-PSOE,PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE,Centro izquierda
107,PSM-ENE,COALICION ELECTORAL PSM-ENE,Centro izquierda
108,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro izquierda
109,PSOE-A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,Centro izquierda
110,PSPC,PARTIDO SOCIALISTA DEL PUEBLO DE CEUTA,Centro izquierda
111,SIEX,SOCIALISTAS INDEPENDIENTES DE EXTREMADURA,Centro izquierda
112,SOS,SOS NATURALEZA,Izquierda
113,TC-PNC,TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO,Regionalista derecha
115,UAD,UNIDAD ANDALUZA DEMOCRATICA,Centro derecha
116,UC,UNION CENTRISTA,Centro derecha
118,UM,UNIO MALLORQUINA,Regionalista derecha
119,UPL,UNION DEL PUEBLO LEONES,Regionalista derecha
120,UPN-PP,UNION DEL PUEBLO NAVARRO-PARTIDO POPULAR,Regionalista derecha
121,UPRA,UNION PROVINCIAL ALICANTINA,Regionalista derecha
122,UPV-BN,UNITAT DEL POBLE VALENCIA-BLOC NACIONALISTA,Regionalista izquierda
123,URCL,UNIDAD REGIONALISTA DE CASTILLA Y LEON,Regionalista derecha
124,UV,UNIO VALENCIANA,Regionalista derecha
125,VDPA,VOZ DEL PUEBLO ANDALUZ,Regionalista izquierda
126,VE-EHB,VERDES EUROPEOS-EUSKAL HERRIKO BERDEAK,Izquierda
127,VE-VG,LOS VERDES EUROPEOS-OS VERDES DE GALICIA,Izquierda
128,VERDES,LOS VERDES DE ASTURIES,Izquierda
129,VG,OS VERDES DE GALICIA,Izquierda
131,PRT,PARTIDO REVOLUCIONARIO DE LOS TRABAJADORES,Izquierda
132,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro izquierda
