Provincias;Sexo;Periodo;Total
18 Granada;Ambos sexos;2021;81,80
18 Granada;Ambos sexos;2020;81,40
18 Granada;Ambos sexos;2019;82,43
18 Granada;Ambos sexos;2018;81,83
18 Granada;Ambos sexos;2017;82,13
18 Granada;Ambos sexos;2016;82,21
18 Granada;Ambos sexos;2015;81,40
18 Granada;Ambos sexos;2014;81,94
18 Granada;Ambos sexos;2013;81,94
18 Granada;Ambos sexos;2012;81,16
18 Granada;Ambos sexos;2011;81,06
18 Granada;Ambos sexos;2010;80,77
18 Granada;Ambos sexos;2009;80,39
18 Granada;Ambos sexos;2008;80,19
18 Granada;Ambos sexos;2007;79,58
18 Granada;Ambos sexos;2006;79,73
18 Granada;Ambos sexos;2005;79,16
18 Granada;Ambos sexos;2004;79,06
18 Granada;Ambos sexos;2003;78,76
18 Granada;Ambos sexos;2002;78,70
18 Granada;Ambos sexos;2001;78,92
18 Granada;Ambos sexos;2000;78,33
18 Granada;Ambos sexos;1999;77,55
18 Granada;Ambos sexos;1998;77,74
18 Granada;Ambos sexos;1997;77,99
18 Granada;Ambos sexos;1996;77,65
19 Guadalajara;Ambos sexos;2023;84,71
19 Guadalajara;Ambos sexos;2022;83,72
19 Guadalajara;Ambos sexos;2021;83,86
19 Guadalajara;Ambos sexos;2020;82,29
19 Guadalajara;Ambos sexos;2019;84,73
19 Guadalajara;Ambos sexos;2018;84,21
19 Guadalajara;Ambos sexos;2017;84,06
19 Guadalajara;Ambos sexos;2016;83,89
19 Guadalajara;Ambos sexos;2015;83,66
19 Guadalajara;Ambos sexos;2014;84,36
19 Guadalajara;Ambos sexos;2013;84,53
19 Guadalajara;Ambos sexos;2012;83,77
19 Guadalajara;Ambos sexos;2011;83,61
19 Guadalajara;Ambos sexos;2010;83,76
19 Guadalajara;Ambos sexos;2009;83,74
19 Guadalajara;Ambos sexos;2008;83,22
19 Guadalajara;Ambos sexos;2007;82,39
19 Guadalajara;Ambos sexos;2006;83,12
19 Guadalajara;Ambos sexos;2005;82,25
19 Guadalajara;Ambos sexos;2004;81,69
19 Guadalajara;Ambos sexos;2003;82,35
19 Guadalajara;Ambos sexos;2002;81,59
19 Guadalajara;Ambos sexos;2001;81,09
19 Guadalajara;Ambos sexos;2000;81,72
19 Guadalajara;Ambos sexos;1999;81,25
19 Guadalajara;Ambos sexos;1998;81,24
19 Guadalajara;Ambos sexos;1997;81,46
19 Guadalajara;Ambos sexos;1996;80,23
21 Huelva;Ambos sexos;2023;81,83
21 Huelva;Ambos sexos;2022;81,59
21 Huelva;Ambos sexos;2021;81,16
21 Huelva;Ambos sexos;2020;81,43
21 Huelva;Ambos sexos;2019;81,84
21 Huelva;Ambos sexos;2018;81,50
21 Huelva;Ambos sexos;2017;81,71
21 Huelva;Ambos sexos;2016;81,39
21 Huelva;Ambos sexos;2015;81,37
21 Huelva;Ambos sexos;2014;81,24
21 Huelva;Ambos sexos;2013;80,72
21 Huelva;Ambos sexos;2012;80,04
21 Huelva;Ambos sexos;2011;80,62
21 Huelva;Ambos sexos;2010;80,60
21 Huelva;Ambos sexos;2009;80,21
21 Huelva;Ambos sexos;2008;79,72
21 Huelva;Ambos sexos;2007;79,01
21 Huelva;Ambos sexos;2006;79,41
21 Huelva;Ambos sexos;2005;78,76
21 Huelva;Ambos sexos;2004;78,95
21 Huelva;Ambos sexos;2003;78,28
21 Huelva;Ambos sexos;2002;78,46
21 Huelva;Ambos sexos;2001;78,09
21 Huelva;Ambos sexos;2000;77,94
21 Huelva;Ambos sexos;1999;77,63
21 Huelva;Ambos sexos;1998;77,45
21 Huelva;Ambos sexos;1997;77,45
21 Huelva;Ambos sexos;1996;76,96
22 Huesca;Ambos sexos;2023;84,41
22 Huesca;Ambos sexos;2022;82,94
22 Huesca;Ambos sexos;2021;83,69
22 Huesca;Ambos sexos;2020;82,92
22 Huesca;Ambos sexos;2019;84,14
22 Huesca;Ambos sexos;2018;83,35
22 Huesca;Ambos sexos;2017;83,20
22 Huesca;Ambos sexos;2016;83,00
22 Huesca;Ambos sexos;2015;82,78
22 Huesca;Ambos sexos;2014;83,25
22 Huesca;Ambos sexos;2013;83,43
22 Huesca;Ambos sexos;2012;82,76
22 Huesca;Ambos sexos;2011;82,74
22 Huesca;Ambos sexos;2010;82,19
22 Huesca;Ambos sexos;2009;82,13
22 Huesca;Ambos sexos;2008;82,54
22 Huesca;Ambos sexos;2007;82,37
22 Huesca;Ambos sexos;2006;81,58
22 Huesca;Ambos sexos;2005;81,22
22 Huesca;Ambos sexos;2004;81,03
22 Huesca;Ambos sexos;2003;80,80
22 Huesca;Ambos sexos;2002;80,39
22 Huesca;Ambos sexos;2001;80,23
22 Huesca;Ambos sexos;2000;80,60
22 Huesca;Ambos sexos;1999;79,31
22 Huesca;Ambos sexos;1998;79,82
22 Huesca;Ambos sexos;1997;79,67
22 Huesca;Ambos sexos;1996;78,86
23 Jaén;Ambos sexos;2023;82,68
23 Jaén;Ambos sexos;2022;81,72
23 Jaén;Ambos sexos;2021;81,80
23 Jaén;Ambos sexos;2020;81,35
23 Jaén;Ambos sexos;2019;82,28
23 Jaén;Ambos sexos;2018;81,92
23 Jaén;Ambos sexos;2017;82,09
23 Jaén;Ambos sexos;2016;81,96
23 Jaén;Ambos sexos;2015;81,57
23 Jaén;Ambos sexos;2014;81,94
23 Jaén;Ambos sexos;2013;81,73
23 Jaén;Ambos sexos;2012;81,35
23 Jaén;Ambos sexos;2011;80,97
23 Jaén;Ambos sexos;2010;81,32
23 Jaén;Ambos sexos;2009;80,33
23 Jaén;Ambos sexos;2008;80,28
23 Jaén;Ambos sexos;2007;79,80
23 Jaén;Ambos sexos;2006;80,34
23 Jaén;Ambos sexos;2005;79,47
23 Jaén;Ambos sexos;2004;79,36
23 Jaén;Ambos sexos;2003;79,02
23 Jaén;Ambos sexos;2002;79,24
23 Jaén;Ambos sexos;2001;79,11
23 Jaén;Ambos sexos;2000;78,61
23 Jaén;Ambos sexos;1999;78,39
23 Jaén;Ambos sexos;1998;78,04
23 Jaén;Ambos sexos;1997;78,38
23 Jaén;Ambos sexos;1996;78,29
24 León;Ambos sexos;2023;84,20
24 León;Ambos sexos;2022;83,29
24 León;Ambos sexos;2021;83,49
24 León;Ambos sexos;2020;82,48
24 León;Ambos sexos;2019;83,62
24 León;Ambos sexos;2018;83,56
24 León;Ambos sexos;2017;83,69
24 León;Ambos sexos;2016;83,48
24 León;Ambos sexos;2015;83,26
24 León;Ambos sexos;2014;83,12
24 León;Ambos sexos;2013;82,73
24 León;Ambos sexos;2012;82,91
24 León;Ambos sexos;2011;82,97
24 León;Ambos sexos;2010;82,58
24 León;Ambos sexos;2009;82,57
24 León;Ambos sexos;2008;81,78
24 León;Ambos sexos;2007;81,18
24 León;Ambos sexos;2006;81,56
24 León;Ambos sexos;2005;81,04
24 León;Ambos sexos;2004;80,94
24 León;Ambos sexos;2003;80,82
24 León;Ambos sexos;2002;80,84
24 León;Ambos sexos;2001;80,45
24 León;Ambos sexos;2000;80,34
24 León;Ambos sexos;1999;80,22
24 León;Ambos sexos;1998;79,88
24 León;Ambos sexos;1997;79,72
24 León;Ambos sexos;1996;79,45
25 Lleida;Ambos sexos;2023;83,65
25 Lleida;Ambos sexos;2022;83,01
25 Lleida;Ambos sexos;2021;82,76
25 Lleida;Ambos sexos;2020;82,28
25 Lleida;Ambos sexos;2019;83,53
25 Lleida;Ambos sexos;2018;83,14
25 Lleida;Ambos sexos;2017;83,12
25 Lleida;Ambos sexos;2016;83,44
25 Lleida;Ambos sexos;2015;82,79
25 Lleida;Ambos sexos;2014;82,92
25 Lleida;Ambos sexos;2013;82,61
25 Lleida;Ambos sexos;2012;82,44
25 Lleida;Ambos sexos;2011;82,08
25 Lleida;Ambos sexos;2010;81,80
25 Lleida;Ambos sexos;2009;81,76
25 Lleida;Ambos sexos;2008;81,63
25 Lleida;Ambos sexos;2007;80,88
25 Lleida;Ambos sexos;2006;80,88
25 Lleida;Ambos sexos;2005;80,15
25 Lleida;Ambos sexos;2004;80,05
25 Lleida;Ambos sexos;2003;79,72
25 Lleida;Ambos sexos;2002;79,55
25 Lleida;Ambos sexos;2001;80,16
25 Lleida;Ambos sexos;2000;79,66
25 Lleida;Ambos sexos;1999;79,25
25 Lleida;Ambos sexos;1998;78,71
25 Lleida;Ambos sexos;1997;78,81
25 Lleida;Ambos sexos;1996;78,76
27 Lugo;Ambos sexos;2023;83,38
27 Lugo;Ambos sexos;2022;83,23
27 Lugo;Ambos sexos;2021;83,38
27 Lugo;Ambos sexos;2020;83,10
27 Lugo;Ambos sexos;2019;83,71
27 Lugo;Ambos sexos;2018;82,91
27 Lugo;Ambos sexos;2017;83,00
27 Lugo;Ambos sexos;2016;82,58
27 Lugo;Ambos sexos;2015;82,39
27 Lugo;Ambos sexos;2014;82,66
27 Lugo;Ambos sexos;2013;82,66
27 Lugo;Ambos sexos;2012;81,92
27 Lugo;Ambos sexos;2011;82,29
27 Lugo;Ambos sexos;2010;82,06
27 Lugo;Ambos sexos;2009;81,25
27 Lugo;Ambos sexos;2008;81,52
27 Lugo;Ambos sexos;2007;81,16
27 Lugo;Ambos sexos;2006;80,81
27 Lugo;Ambos sexos;2005;80,74
27 Lugo;Ambos sexos;2004;80,73
27 Lugo;Ambos sexos;2003;79,58
27 Lugo;Ambos sexos;2002;79,52
27 Lugo;Ambos sexos;2001;79,59
27 Lugo;Ambos sexos;2000;79,21
27 Lugo;Ambos sexos;1999;78,99
27 Lugo;Ambos sexos;1998;78,60
27 Lugo;Ambos sexos;1997;78,50
27 Lugo;Ambos sexos;1996;77,67
28 Madrid;Ambos sexos;2023;85,39
28 Madrid;Ambos sexos;2022;84,76
28 Madrid;Ambos sexos;2021;84,56
28 Madrid;Ambos sexos;2020;82,27
28 Madrid;Ambos sexos;2019;84,93
28 Madrid;Ambos sexos;2018;84,73
28 Madrid;Ambos sexos;2017;84,48
28 Madrid;Ambos sexos;2016;84,50
28 Madrid;Ambos sexos;2015;83,97
28 Madrid;Ambos sexos;2014;84,20
28 Madrid;Ambos sexos;2013;84,13
28 Madrid;Ambos sexos;2012;83,64
28 Madrid;Ambos sexos;2011;83,63
28 Madrid;Ambos sexos;2010;83,39
28 Madrid;Ambos sexos;2009;82,93
28 Madrid;Ambos sexos;2008;82,58
28 Madrid;Ambos sexos;2007;82,08
28 Madrid;Ambos sexos;2006;82,06
28 Madrid;Ambos sexos;2005;81,50
28 Madrid;Ambos sexos;2004;81,24
28 Madrid;Ambos sexos;2003;80,63
28 Madrid;Ambos sexos;2002;80,81
28 Madrid;Ambos sexos;2001;80,58
28 Madrid;Ambos sexos;2000;80,36
28 Madrid;Ambos sexos;1999;80,19
28 Madrid;Ambos sexos;1998;79,93
28 Madrid;Ambos sexos;1997;79,97
28 Madrid;Ambos sexos;1996;79,18
29 Málaga;Ambos sexos;2023;82,90
29 Málaga;Ambos sexos;2022;82,15
29 Málaga;Ambos sexos;2021;81,82
29 Málaga;Ambos sexos;2020;81,97
29 Málaga;Ambos sexos;2019;82,54
29 Málaga;Ambos sexos;2018;81,96
29 Málaga;Ambos sexos;2017;82,22
29 Málaga;Ambos sexos;2016;82,10
29 Málaga;Ambos sexos;2015;81,65
29 Málaga;Ambos sexos;2014;81,64
29 Málaga;Ambos sexos;2013;81,71
29 Málaga;Ambos sexos;2012;81,26
29 Málaga;Ambos sexos;2011;81,21
29 Málaga;Ambos sexos;2010;80,86
29 Málaga;Ambos sexos;2009;80,50
29 Málaga;Ambos sexos;2008;79,89
29 Málaga;Ambos sexos;2007;79,66
29 Málaga;Ambos sexos;2006;79,52
29 Málaga;Ambos sexos;2005;78,86
29 Málaga;Ambos sexos;2004;78,98
29 Málaga;Ambos sexos;2003;78,26
29 Málaga;Ambos sexos;2002;78,52
29 Málaga;Ambos sexos;2001;78,26
29 Málaga;Ambos sexos;2000;78,00
29 Málaga;Ambos sexos;1999;77,64
29 Málaga;Ambos sexos;1998;77,61
29 Málaga;Ambos sexos;1997;77,33
29 Málaga;Ambos sexos;1996;76,78
30 Murcia;Ambos sexos;2023;82,82
30 Murcia;Ambos sexos;2022;82,05
30 Murcia;Ambos sexos;2021;82,21
30 Murcia;Ambos sexos;2020;82,26
30 Murcia;Ambos sexos;2019;82,62
30 Murcia;Ambos sexos;2018;82,64
30 Murcia;Ambos sexos;2017;82,40
30 Murcia;Ambos sexos;2016;82,51
30 Murcia;Ambos sexos;2015;82,21
30 Murcia;Ambos sexos;2014;82,47
30 Murcia;Ambos sexos;2013;82,27
30 Murcia;Ambos sexos;2012;81,72
30 Murcia;Ambos sexos;2011;81,71
30 Murcia;Ambos sexos;2010;81,62
30 Murcia;Ambos sexos;2009;80,90
30 Murcia;Ambos sexos;2008;80,43
30 Murcia;Ambos sexos;2007;80,30
30 Murcia;Ambos sexos;2006;80,27
30 Murcia;Ambos sexos;2005;79,71
30 Murcia;Ambos sexos;2004;79,54
30 Murcia;Ambos sexos;2003;79,11
30 Murcia;Ambos sexos;2002;78,96
30 Murcia;Ambos sexos;2001;78,95
30 Murcia;Ambos sexos;2000;78,42
30 Murcia;Ambos sexos;1999;77,90
30 Murcia;Ambos sexos;1998;78,22
30 Murcia;Ambos sexos;1997;78,06
30 Murcia;Ambos sexos;1996;78,05
31 Navarra;Ambos sexos;2023;84,79
31 Navarra;Ambos sexos;2022;83,85
31 Navarra;Ambos sexos;2021;84,26
31 Navarra;Ambos sexos;2020;83,33
31 Navarra;Ambos sexos;2019;84,55
31 Navarra;Ambos sexos;2018;84,14
31 Navarra;Ambos sexos;2017;83,80
31 Navarra;Ambos sexos;2016;83,81
31 Navarra;Ambos sexos;2015;83,75
31 Navarra;Ambos sexos;2014;83,45
31 Navarra;Ambos sexos;2013;83,49
31 Navarra;Ambos sexos;2012;83,42
31 Navarra;Ambos sexos;2011;83,47
31 Navarra;Ambos sexos;2010;83,68
31 Navarra;Ambos sexos;2009;82,90
31 Navarra;Ambos sexos;2008;82,29
31 Navarra;Ambos sexos;2007;82,20
31 Navarra;Ambos sexos;2006;82,02
31 Navarra;Ambos sexos;2005;81,62
31 Navarra;Ambos sexos;2004;81,46
31 Navarra;Ambos sexos;2003;80,91
31 Navarra;Ambos sexos;2002;80,83
31 Navarra;Ambos sexos;2001;81,01
31 Navarra;Ambos sexos;2000;80,40
31 Navarra;Ambos sexos;1999;80,15
31 Navarra;Ambos sexos;1998;79,97
31 Navarra;Ambos sexos;1997;80,06
31 Navarra;Ambos sexos;1996;79,44
32 Ourense;Ambos sexos;2023;83,51
32 Ourense;Ambos sexos;2022;83,58
32 Ourense;Ambos sexos;2021;83,52
32 Ourense;Ambos sexos;2020;83,06
32 Ourense;Ambos sexos;2019;83,57
32 Ourense;Ambos sexos;2018;83,30
32 Ourense;Ambos sexos;2017;83,77
32 Ourense;Ambos sexos;2016;83,04
32 Ourense;Ambos sexos;2015;83,20
32 Ourense;Ambos sexos;2014;83,66
32 Ourense;Ambos sexos;2013;82,63
32 Ourense;Ambos sexos;2012;82,39
32 Ourense;Ambos sexos;2011;81,90
32 Ourense;Ambos sexos;2010;82,22
32 Ourense;Ambos sexos;2009;82,24
32 Ourense;Ambos sexos;2008;81,43
32 Ourense;Ambos sexos;2007;81,46
32 Ourense;Ambos sexos;2006;81,18
32 Ourense;Ambos sexos;2005;81,03
32 Ourense;Ambos sexos;2004;81,32
32 Ourense;Ambos sexos;2003;80,50
32 Ourense;Ambos sexos;2002;80,70
32 Ourense;Ambos sexos;2001;80,67
32 Ourense;Ambos sexos;2000;79,90
32 Ourense;Ambos sexos;1999;80,06
32 Ourense;Ambos sexos;1998;79,23
32 Ourense;Ambos sexos;1997;79,17
32 Ourense;Ambos sexos;1996;78,34
34 Palencia;Ambos sexos;2023;84,04
34 Palencia;Ambos sexos;2022;82,27
34 Palencia;Ambos sexos;2021;82,48
34 Palencia;Ambos sexos;2020;81,17
34 Palencia;Ambos sexos;2019;83,30
34 Palencia;Ambos sexos;2018;82,85
34 Palencia;Ambos sexos;2017;83,16
34 Palencia;Ambos sexos;2016;83,15
34 Palencia;Ambos sexos;2015;83,00
34 Palencia;Ambos sexos;2014;82,18
34 Palencia;Ambos sexos;2013;83,18
34 Palencia;Ambos sexos;2012;82,40
34 Palencia;Ambos sexos;2011;82,29
34 Palencia;Ambos sexos;2010;81,93
34 Palencia;Ambos sexos;2009;81,32
34 Palencia;Ambos sexos;2008;82,22
34 Palencia;Ambos sexos;2007;80,96
34 Palencia;Ambos sexos;2006;81,13
34 Palencia;Ambos sexos;2005;80,74
34 Palencia;Ambos sexos;2004;81,07
34 Palencia;Ambos sexos;2003;80,27
34 Palencia;Ambos sexos;2002;80,00
34 Palencia;Ambos sexos;2001;80,06
34 Palencia;Ambos sexos;2000;79,47
34 Palencia;Ambos sexos;1999;78,99
34 Palencia;Ambos sexos;1998;79,28
34 Palencia;Ambos sexos;1997;79,28
34 Palencia;Ambos sexos;1996;78,64
35 Palmas, Las;Ambos sexos;2023;82,08
35 Palmas, Las;Ambos sexos;2022;81,56
35 Palmas, Las;Ambos sexos;2021;81,92
35 Palmas, Las;Ambos sexos;2020;81,90
35 Palmas, Las;Ambos sexos;2019;82,27
35 Palmas, Las;Ambos sexos;2018;81,69
35 Palmas, Las;Ambos sexos;2017;81,99
35 Palmas, Las;Ambos sexos;2016;81,85
35 Palmas, Las;Ambos sexos;2015;81,62
35 Palmas, Las;Ambos sexos;2014;81,74
35 Palmas, Las;Ambos sexos;2013;81,69
35 Palmas, Las;Ambos sexos;2012;81,25
35 Palmas, Las;Ambos sexos;2011;81,26
35 Palmas, Las;Ambos sexos;2010;81,28
35 Palmas, Las;Ambos sexos;2009;80,85
35 Palmas, Las;Ambos sexos;2008;79,34
35 Palmas, Las;Ambos sexos;2007;79,90
35 Palmas, Las;Ambos sexos;2006;79,45
35 Palmas, Las;Ambos sexos;2005;78,82
35 Palmas, Las;Ambos sexos;2004;78,62
35 Palmas, Las;Ambos sexos;2003;78,21
35 Palmas, Las;Ambos sexos;2002;77,87
35 Palmas, Las;Ambos sexos;2001;77,57
35 Palmas, Las;Ambos sexos;2000;77,00
35 Palmas, Las;Ambos sexos;1999;76,70
35 Palmas, Las;Ambos sexos;1998;77,08
35 Palmas, Las;Ambos sexos;1997;77,24
35 Palmas, Las;Ambos sexos;1996;76,95
36 Pontevedra;Ambos sexos;2023;83,62
36 Pontevedra;Ambos sexos;2022;83,26
36 Pontevedra;Ambos sexos;2021;83,65
36 Pontevedra;Ambos sexos;2020;83,40
36 Pontevedra;Ambos sexos;2019;83,59
36 Pontevedra;Ambos sexos;2018;83,44
36 Pontevedra;Ambos sexos;2017;83,02
36 Pontevedra;Ambos sexos;2016;82,65
36 Pontevedra;Ambos sexos;2015;82,78
36 Pontevedra;Ambos sexos;2014;83,07
36 Pontevedra;Ambos sexos;2013;82,79
36 Pontevedra;Ambos sexos;2012;82,20
36 Pontevedra;Ambos sexos;2011;82,18
36 Pontevedra;Ambos sexos;2010;81,97
36 Pontevedra;Ambos sexos;2009;81,53
36 Pontevedra;Ambos sexos;2008;81,39
36 Pontevedra;Ambos sexos;2007;80,90
36 Pontevedra;Ambos sexos;2006;80,73
36 Pontevedra;Ambos sexos;2005;80,41
36 Pontevedra;Ambos sexos;2004;80,56
36 Pontevedra;Ambos sexos;2003;79,95
36 Pontevedra;Ambos sexos;2002;79,78
36 Pontevedra;Ambos sexos;2001;79,71
36 Pontevedra;Ambos sexos;2000;79,18
36 Pontevedra;Ambos sexos;1999;79,16
36 Pontevedra;Ambos sexos;1998;78,84
36 Pontevedra;Ambos sexos;1997;78,39
36 Pontevedra;Ambos sexos;1996;77,80
26 Rioja, La;Ambos sexos;2023;84,17
26 Rioja, La;Ambos sexos;2022;83,20
26 Rioja, La;Ambos sexos;2021;83,27
26 Rioja, La;Ambos sexos;2020;82,50
26 Rioja, La;Ambos sexos;2019;83,83
26 Rioja, La;Ambos sexos;2018;83,63
26 Rioja, La;Ambos sexos;2017;83,61
26 Rioja, La;Ambos sexos;2016;83,80
26 Rioja, La;Ambos sexos;2015;83,37
26 Rioja, La;Ambos sexos;2014;83,78
26 Rioja, La;Ambos sexos;2013;83,61
26 Rioja, La;Ambos sexos;2012;82,66
26 Rioja, La;Ambos sexos;2011;82,85
26 Rioja, La;Ambos sexos;2010;82,95
26 Rioja, La;Ambos sexos;2009;82,52
26 Rioja, La;Ambos sexos;2008;81,93
26 Rioja, La;Ambos sexos;2007;81,49
26 Rioja, La;Ambos sexos;2006;81,88
26 Rioja, La;Ambos sexos;2005;80,97
26 Rioja, La;Ambos sexos;2004;81,35
26 Rioja, La;Ambos sexos;2003;80,60
26 Rioja, La;Ambos sexos;2002;80,48
26 Rioja, La;Ambos sexos;2001;80,55
26 Rioja, La;Ambos sexos;2000;80,43
26 Rioja, La;Ambos sexos;1999;79,45
26 Rioja, La;Ambos sexos;1998;79,66
26 Rioja, La;Ambos sexos;1997;79,85
26 Rioja, La;Ambos sexos;1996;79,16
37 Salamanca;Ambos sexos;2023;85,40
37 Salamanca;Ambos sexos;2022;84,12
37 Salamanca;Ambos sexos;2021;84,73
37 Salamanca;Ambos sexos;2020;82,53
37 Salamanca;Ambos sexos;2019;84,69
37 Salamanca;Ambos sexos;2018;84,68
37 Salamanca;Ambos sexos;2017;84,41
37 Salamanca;Ambos sexos;2016;84,47
37 Salamanca;Ambos sexos;2015;84,58
37 Salamanca;Ambos sexos;2014;84,58
37 Salamanca;Ambos sexos;2013;84,31
37 Salamanca;Ambos sexos;2012;83,77
37 Salamanca;Ambos sexos;2011;83,94
37 Salamanca;Ambos sexos;2010;83,68
37 Salamanca;Ambos sexos;2009;82,96
37 Salamanca;Ambos sexos;2008;82,79
37 Salamanca;Ambos sexos;2007;82,60
37 Salamanca;Ambos sexos;2006;82,75
37 Salamanca;Ambos sexos;2005;82,24
37 Salamanca;Ambos sexos;2004;82,48
37 Salamanca;Ambos sexos;2003;80,85
37 Salamanca;Ambos sexos;2002;80,85
37 Salamanca;Ambos sexos;2001;81,42
37 Salamanca;Ambos sexos;2000;80,94
37 Salamanca;Ambos sexos;1999;80,22
37 Salamanca;Ambos sexos;1998;79,99
37 Salamanca;Ambos sexos;1997;80,08
37 Salamanca;Ambos sexos;1996;79,68
38 Santa Cruz de Tenerife;Ambos sexos;2023;82,85
38 Santa Cruz de Tenerife;Ambos sexos;2022;82,01
38 Santa Cruz de Tenerife;Ambos sexos;2021;82,30
38 Santa Cruz de Tenerife;Ambos sexos;2020;82,63
38 Santa Cruz de Tenerife;Ambos sexos;2019;82,56
38 Santa Cruz de Tenerife;Ambos sexos;2018;81,90
38 Santa Cruz de Tenerife;Ambos sexos;2017;82,27
38 Santa Cruz de Tenerife;Ambos sexos;2016;82,10
38 Santa Cruz de Tenerife;Ambos sexos;2015;81,75
38 Santa Cruz de Tenerife;Ambos sexos;2014;81,95
38 Santa Cruz de Tenerife;Ambos sexos;2013;82,25
38 Santa Cruz de Tenerife;Ambos sexos;2012;81,57
38 Santa Cruz de Tenerife;Ambos sexos;2011;81,31
38 Santa Cruz de Tenerife;Ambos sexos;2010;81,48
38 Santa Cruz de Tenerife;Ambos sexos;2009;80,97
38 Santa Cruz de Tenerife;Ambos sexos;2008;80,25
38 Santa Cruz de Tenerife;Ambos sexos;2007;79,62
38 Santa Cruz de Tenerife;Ambos sexos;2006;79,73
38 Santa Cruz de Tenerife;Ambos sexos;2005;79,38
38 Santa Cruz de Tenerife;Ambos sexos;2004;78,88
38 Santa Cruz de Tenerife;Ambos sexos;2003;79,00
38 Santa Cruz de Tenerife;Ambos sexos;2002;79,34
38 Santa Cruz de Tenerife;Ambos sexos;2001;78,56
38 Santa Cruz de Tenerife;Ambos sexos;2000;78,01
38 Santa Cruz de Tenerife;Ambos sexos;1999;78,18
38 Santa Cruz de Tenerife;Ambos sexos;1998;77,52
38 Santa Cruz de Tenerife;Ambos sexos;1997;77,94
38 Santa Cruz de Tenerife;Ambos sexos;1996;77,34
40 Segovia;Ambos sexos;2023;83,92
40 Segovia;Ambos sexos;2022;84,41
40 Segovia;Ambos sexos;2021;84,06
40 Segovia;Ambos sexos;2020;81,49
40 Segovia;Ambos sexos;2019;84,70
40 Segovia;Ambos sexos;2018;83,94
40 Segovia;Ambos sexos;2017;83,92
40 Segovia;Ambos sexos;2016;84,01
40 Segovia;Ambos sexos;2015;83,28
40 Segovia;Ambos sexos;2014;84,09
40 Segovia;Ambos sexos;2013;83,76
40 Segovia;Ambos sexos;2012;83,64
40 Segovia;Ambos sexos;2011;83,40
40 Segovia;Ambos sexos;2010;83,35
40 Segovia;Ambos sexos;2009;83,12
40 Segovia;Ambos sexos;2008;82,85
40 Segovia;Ambos sexos;2007;82,47
40 Segovia;Ambos sexos;2006;82,50
40 Segovia;Ambos sexos;2005;81,96
40 Segovia;Ambos sexos;2004;81,28
40 Segovia;Ambos sexos;2003;81,42
40 Segovia;Ambos sexos;2002;81,36
40 Segovia;Ambos sexos;2001;81,70
40 Segovia;Ambos sexos;2000;81,34
40 Segovia;Ambos sexos;1999;80,77
40 Segovia;Ambos sexos;1998;81,14
40 Segovia;Ambos sexos;1997;80,65
40 Segovia;Ambos sexos;1996;80,49
41 Sevilla;Ambos sexos;2023;82,58
41 Sevilla;Ambos sexos;2022;81,74
41 Sevilla;Ambos sexos;2021;81,44
41 Sevilla;Ambos sexos;2020;81,39
41 Sevilla;Ambos sexos;2019;81,99
41 Sevilla;Ambos sexos;2018;81,83
41 Sevilla;Ambos sexos;2017;81,39
41 Sevilla;Ambos sexos;2016;81,73
41 Sevilla;Ambos sexos;2015;81,09
41 Sevilla;Ambos sexos;2014;81,59
41 Sevilla;Ambos sexos;2013;81,36
41 Sevilla;Ambos sexos;2012;80,79
41 Sevilla;Ambos sexos;2011;80,59
41 Sevilla;Ambos sexos;2010;80,38
41 Sevilla;Ambos sexos;2009;80,08
41 Sevilla;Ambos sexos;2008;79,56
41 Sevilla;Ambos sexos;2007;79,41
41 Sevilla;Ambos sexos;2006;79,26
41 Sevilla;Ambos sexos;2005;78,87
41 Sevilla;Ambos sexos;2004;78,65
41 Sevilla;Ambos sexos;2003;78,03
41 Sevilla;Ambos sexos;2002;78,35
41 Sevilla;Ambos sexos;2001;78,20
41 Sevilla;Ambos sexos;2000;78,01
41 Sevilla;Ambos sexos;1999;77,23
41 Sevilla;Ambos sexos;1998;77,22
41 Sevilla;Ambos sexos;1997;77,52
41 Sevilla;Ambos sexos;1996;77,07
42 Soria;Ambos sexos;2023;84,73
42 Soria;Ambos sexos;2022;83,29
42 Soria;Ambos sexos;2021;83,63
42 Soria;Ambos sexos;2020;82,26
42 Soria;Ambos sexos;2019;84,48
42 Soria;Ambos sexos;2018;84,52
42 Soria;Ambos sexos;2017;84,78
42 Soria;Ambos sexos;2016;83,02
42 Soria;Ambos sexos;2015;84,05
42 Soria;Ambos sexos;2014;84,02
42 Soria;Ambos sexos;2013;84,45
42 Soria;Ambos sexos;2012;83,64
42 Soria;Ambos sexos;2011;84,00
42 Soria;Ambos sexos;2010;83,85
42 Soria;Ambos sexos;2009;83,36
42 Soria;Ambos sexos;2008;82,79
42 Soria;Ambos sexos;2007;82,42
42 Soria;Ambos sexos;2006;82,21
42 Soria;Ambos sexos;2005;81,71
42 Soria;Ambos sexos;2004;80,89
42 Soria;Ambos sexos;2003;82,82
42 Soria;Ambos sexos;2002;82,13
42 Soria;Ambos sexos;2001;83,28
42 Soria;Ambos sexos;2000;80,70
42 Soria;Ambos sexos;1999;81,32
42 Soria;Ambos sexos;1998;81,30
42 Soria;Ambos sexos;1997;81,72
42 Soria;Ambos sexos;1996;80,54
43 Tarragona;Ambos sexos;2023;83,24
43 Tarragona;Ambos sexos;2022;82,86
