Provincia;Ano;%mujeres
01;1998;50.332929250338196
01;1999;50.34085977854613
01;2000;50.34188839673713
01;2001;50.283074728265575
01;2002;50.232645789076955
01;2003;50.179711917380075
01;2004;50.16136935840895
01;2005;50.118516987434866
01;2006;50.22058385167226
01;2007;50.22572587483099
01;2008;50.14258723981462
01;2009;50.15661894276637
01;2010;50.11154806019814
01;2011;50.179339466899734
01;2012;50.19515930517707
01;2013;50.33803439146032
01;2014;50.42959382726787
01;2015;50.47273581174609
01;2016;50.56243559603364
01;2017;50.59190260094189
01;2018;50.68690173565078
01;2019;50.68632389179276
01;2020;50.732466910223394
01;2021;50.76762602435062
01;2023;50.783763740535626
02;1998;50.34593150528309
02;1999;50.36022835236731
02;2000;50.3635107346468
02;2001;50.22203586879872
02;2002;50.11713696283087
02;2003;50.03691350024964
02;2004;49.99499272627607
02;2005;49.92096505823627
02;2006;49.86611910498429
02;2007;49.817143148606256
02;2008;49.72993235100995
02;2009;49.82127311413826
02;2010;49.8618310006423
02;2011;49.94009713709056
02;2012;49.945014981245514
02;2013;49.99687505468654
02;2014;50.06637496945744
02;2015;50.06994779258959
02;2016;50.055595509514994
02;2017;50.069994256881486
02;2018;50.06044456333304
02;2019;50.044439635517705
02;2020;50.0139078476318
02;2021;50.00698642046866
02;2023;49.974204553998035
03;1998;50.87020036243649
03;1999;50.81789097527475
03;2000;50.80794716651075
03;2001;50.66790134640483
03;2002;50.40893009355776
03;2003;50.27582949479553
03;2004;50.178148988557915
03;2005;50.011227270549504
03;2006;49.93919447395791
03;2007;49.95491063210582
03;2008;49.90565573887496
03;2009;50.015962341393795
03;2010;50.07317193457873
03;2011;50.12943824268004
03;2012;50.13982128802259
03;2013;50.20013959402604
03;2014;50.30506765544267
03;2015;50.35597480818546
03;2016;50.384244897381315
03;2017;50.43581112915349
03;2018;50.452056455801255
03;2019;50.45335864157578
03;2020;50.43023839718111
03;2021;50.47099473791054
03;2023;50.49621528044367
04;1998;50.1082208258812
04;1999;50.00809214515943
04;2000;49.94799596317458
04;2001;49.44464033850494
04;2002;49.427079330573946
04;2003;49.179742088411665
04;2004;49.28500871436034
04;2005;48.54674473106162
04;2006;48.15884249429897
04;2007;48.467368661976735
04;2008;48.51737850771754
04;2009;48.512330040062764
04;2010;48.51457818160906
04;2011;48.608532210996
04;2012;48.94386547366657
04;2013;49.14296418423946
04;2014;49.17071404954908
04;2015;49.222416647770785
04;2016;49.13750874985979
04;2017;49.10283695972106
04;2018;49.06264978712606
04;2019;48.98286878156301
04;2020;48.95795698850875
04;2021;49.0106478343573
04;2023;48.94832647791999
05;1998;49.732546729531144
05;1999;49.812641721651154
05;2000;49.82150541544691
05;2001;49.783689782469416
05;2002;49.76867831752837
05;2003;49.82112642011119
05;2004;49.79591591013076
05;2005;49.74555773743953
05;2006;49.77296833474359
05;2007;49.65725399969165
05;2008;49.45959316706923
05;2009;49.48741845293569
05;2010;49.54623725973845
05;2011;49.5755743931814
05;2012;49.53201179458733
05;2013;49.637198282244924
05;2014;49.706313804149325
05;2015;49.74685463089283
05;2016;49.77048131237924
05;2017;49.79838207840697
05;2018;49.817663314363585
05;2019;49.84077645267699
05;2020;49.824309924903595
05;2021;49.7781228498747
05;2023;49.764765397748825
06;1998;50.56364614200297
06;1999;50.567462854993416
06;2000;50.56491114623025
06;2001;50.55679253776057
06;2002;50.56019239357401
06;2003;50.56835489231567
06;2004;50.51649655970212
06;2005;50.47199534037738
06;2006;50.442184850491635
06;2007;50.44490529272956
06;2008;50.34732052430806
06;2009;50.35955033341706
06;2010;50.39089082074791
06;2011;50.384697969941826
06;2012;50.370968694072126
06;2013;50.37024544166382
06;2014;50.40677117330434
06;2015;50.435251117615366
06;2016;50.45350694987524
06;2017;50.496555294726754
06;2018;50.52515169077555
06;2019;50.54449573088623
06;2020;50.57495718878741
06;2021;50.58907996650461
06;2023;50.59650269651904
07;1998;50.67879665981572
07;1999;50.55389257988367
07;2000;50.43990870711777
07;2001;50.22461180910671
07;2002;50.01472243306201
07;2003;49.940096752980125
07;2004;49.94518582894
07;2005;49.8905028933072
07;2006;49.86334512747462
07;2007;49.77994469509533
07;2008;49.6296758895049
07;2009;49.69272228338564
07;2010;49.802947247364266
07;2011;49.90836518092486
07;2012;49.96681373437945
07;2013;50.1110037654924
07;2014;50.17400098963063
07;2015;50.23191930312845
07;2016;50.264446090207905
07;2017;50.27549307839882
07;2018;50.234828701718826
07;2019;50.17164581629635
07;2020;50.12577429936417
07;2021;50.140749253202024
07;2023;50.2238116565632
08;1998;51.52990471406397
08;1999;51.479168990666814
08;2000;51.45362063916448
08;2001;51.33902759144038
08;2002;51.10391782340291
08;2003;50.92992491488651
08;2004;50.912417922637964
08;2005;50.7971714124225
08;2006;50.7331519695996
08;2007;50.79770082135758
08;2008;50.73598984721903
08;2009;50.744004803263884
08;2010;50.82141702988506
08;2011;50.884800579624276
08;2012;50.965967525508596
08;2013;51.06587798968584
08;2014;51.13784318865473
08;2015;51.18758012875635
08;2016;51.20102549669113
08;2017;51.24456670570873
08;2018;51.26946972465616
08;2019;51.22869678399754
08;2020;51.17325933305731
08;2021;51.1569225492718
08;2023;51.168994424380834
09;1998;49.994947380577734
09;1999;49.96543957974529
09;2000;49.97840110586338
09;2001;49.905091335296305
09;2002;49.88418674143733
09;2003;49.84867893188441
09;2004;49.79673827352379
09;2005;49.69544707925578
09;2006;49.610304665900834
09;2007;49.52810597532052
09;2008;49.240242779764074
09;2009;49.33712852437541
09;2010;49.455480676367166
09;2011;49.51458378254631
