Código,Siglas,Denominación,Clasificacion
000216,PREPAL,PARTIDO REGIONALISTA DEL PAIS LEONES,Regionalista Derecha
000217,PARTIDO RIOJANO,PARTIDO RIOJANO,Regionalista Derecha
000218,P.S.D.,PARTIDO SOCIAL DEMOCRATA,Centro Derecha
000219,PSD,PARTIDO SOCIAL DEMOCRATA,Centro Derecha
000220,PSD-FIA,PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS INDEPENDIENTES DE ARAGON,Centro Derecha
000222,PSE-EE (PSOE),PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA,Centro Izquierda
000223,PSE-EE (PSOE),PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (PSOE),Centro Izquierda
000225,P.S.O.E.,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro Izquierda
000226,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro Izquierda
000227,PSOE-A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,Centro Izquierda
000229,SAIN,PARTIDO SOLIDARIDAD Y AUTOGESTION INTERNACIONALISTA,Izquierda
000230,P.U.E.D.E.,PARTIDO UNIONISTA ESTADO DE ESPAÑA,Derecha
000231,PUEDE,PARTIDO UNIONISTA ESTADO DE ESPAÑA,Derecha
000232,P.A.C.M.A.,PARTIT ANTITAURI CONTRA EL MALTRACTAMENT ANIMAL,Izquierda
000233,PACMA,PARTIT ANTITAURI CONTRA EL MALTRACTAMENT ANIMAL,Izquierda
000234,P. C. de C.,PARTIT CARLI DE CATALUNYA,Derecha
000235,PCaC,PARTIT CARLI DE CATALUNYA,Derecha
000236,P.C.P.C.,PARTIT COMUNISTA DEL POBLE DE CATALUNYA,Izquierda
000237,PCPE,PARTIT COMUNISTA DELS POBLES D'ESPANYA,Izquierda
000238,PSC (PSC-PSOE),PARTIT DELS SOCIALISTES DE CATALUNYA,Centro Izquierda
000239,PSC-PSOE,PARTIT DELS SOCIALISTES DE CATALUNYA,Centro Izquierda
000240,PFiV,PARTIT FAMILIA I VIDA,Derecha
000241,P.H.,PARTIT HUMANISTA,Centro Izquierda
000242,PH,PARTIT HUMANISTA,Centro Izquierda
000243,PH,PARTIT HUMANISTA DE CATALUNYA,Centro Izquierda
000244,PIIB,PARTIT ILLENC DE SES ILLES BALEARS,Regionalista Derecha
000245,P.O.S.I.,PARTIT OBRER SOCIALISTA INTERNACIONALISTA,Izquierda
000246,POSI,PARTIT OBRER SOCIALISTA INTERNACIONALISTA,Izquierda
000247,PxCat,PARTIT PER CATALUNYA,Regionalista Izquierda
000248,P.P.,PARTIT POPULAR/PARTIDO POPULAR,Centro Derecha
000249,RC,PARTIT REPUBLICA CATALA,Regionalista Izquierda
000250,PLRV,PER LA REPUBLICA VALENCIANA,Regionalista Izquierda
000251,plRV,PER LA REPUBLICA VALENCIANA,Regionalista Izquierda
000252,PUM+J,POR UN MUNDO MAS JUSTO,Izquierda
000254,RCN-NOK,REPRESENTACION CANNABICA NAVARRA,Izquierda
000255,SAIN,SOLIDARIDAD Y AUTOGESTION INTERNACIONALISTA,Izquierda
000256,SAIn,SOLIDARIDAD Y AUTOGESTION INTERNACIONALISTA,Izquierda
000258,TC,TIERRA COMUNERA,Regionalista Derecha
000259,UNIDA,UNIDA,Centro Derecha
000260,Ud. Ca.,UNIDAD CASTELLANA,Regionalista Derecha
000261,UNIDAD DEL PUEBLO,UNIDAD DEL PUEBLO,Regionalista Izquierda
000262,U.R.C.L.,UNIDAD REGIONALISTA DE CASTILLA Y LEON,Regionalista Derecha
000264,UCL,UNION CENTRISTA LIBERAL,Centro Derecha
000266,UCPIC,UNION CIUDADANA PROGRESISTAS INDEPENDIENTES DE CANARIAS,Regionalista Izquierda
000267,UPL,UNION DEL PUEBLO LEONES,Regionalista Derecha
000268,UPN-PP,UNION DEL PUEBLO NAVARRO EN COALICION CON EL PARTIDO POPULAR,Regionalista Derecha
000269,ULEG,UNION POR LEGANES,Centro Derecha
000270,UPD,UNION PROGRESO Y DEMOCRACIA,Centro Derecha
000271,UPyD,UNION PROGRESO Y DEMOCRACIA,Centro Derecha
000272,UPyD,"UNION, PROGRESO Y DEMOCRACIA",Centro Derecha
000273,UNITAT PER LES ILLES,UNITAT PER LES ILLES,Regionalista Izquierda
000274,F.E,FRENTE ESPAÑOL,Derecha
000276,CNB,CIUDADANOS EN BLANCO,Centro Derecha
000277,(LI(LIT-CI)),LLUITA INTERNACIONALISTA,Izquierda
000278,esquerra,ESQUERRA REPUBLICANA DE CATALUNYA,Izquierda
000279,EV-LV,ELS VERDS-LOS VERDES,Izquierda
000379,C's,CIUDADANOS PARTIDO DE LA CIUDADANÍA,Centro Derecha
000382,PACMA,PARTIDO ANIMALISTA-CONTRA EL MALTRATO ANIMAL,Izquierda
000384,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro Izquierda
000385,PP,PARTIDO POPULAR,Centro Derecha
000387,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000389,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000406,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000407,PCPC,PARTIDO COMUNISTA DEL PUEBLO CANARIO,Izquierda
000412,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
000418,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
000420,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000425,unio.cat,UNIÓ DEMOCRÀTICA DE CATALUNYA,Centro Derecha
000427,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000428,EB,ESCAÑOS EN BLANCO,Centro Derecha
000432,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro Izquierda
000433,PSdeG-PSOE,PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE,Centro Izquierda
000435,P-LIB,PARTIDO LIBERTARIO,Centro Derecha
000436,PP,PARTIDO POPULAR,Centro Derecha
000438,PSC-PSOE,PARTIT DELS SOCIALISTES DE CATALUNYA,Centro Izquierda
000439,PSOE-NCa,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIAS,Centro Izquierda
000441,C's,CIUTADANS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
000443,PP-FORO,PARTIDO POPULAR-FORO,Centro Derecha
000444,VOX,VOX,Derecha
000445,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
000448,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000468,VOX,VOX,Derecha
000471,SOMVAL,SOM VALENCIANS,Regionalista Derecha
000472,"ARA, PV","ARA, PAÍS VALENCIÀ",Regionalista Izquierda
000473,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000475,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
000479,PACMA,PARTIDO ANIMALISTA CONTRA O MALTRATO ANIMAL,Izquierda
000481,EH Bildu,EUSKAL HERRIA BILDU,Regionalista Izquierda
000482,ARAPV,"ARA, PAÍS VALENCIÀ",Regionalista Izquierda
000484,SAIn,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,Izquierda
000486,PP,PARTIDO POPULAR,Centro Derecha
000489,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000491,UPYD,UNIÓN PROGRESO Y DEMOCRACIA (UPYD),Centro Derecha
000495,PCPC,PARTIDO COMUNISTA DEL PUEBLO CANARIO,Izquierda
000496,C's,CIUDADANOS PARTIDO DE LA CIUDADANÍA,Centro Derecha
000497,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000501,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro Izquierda
000502,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
000506,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000508,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000509,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro Izquierda
000510,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000511,EUPV-UPeC,"UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, U",Izquierda
000519,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",Izquierda
000521,VOX,VOX,Derecha
000524,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
000525,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000526,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,Centro Derecha
000527,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
000530,PODEMOS-AHA,PODEMOS/AHAL DUGU,Izquierda
000531,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",Izquierda
000537,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,Centro Izquierda
000540,PP,PARTIDO POPULAR,Centro Derecha
000546,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000548,PODEMOS,PODEMOS,Izquierda
000551,CANARIAS DE,"CANARIAS DECIDE: LOS VERDES, UNIDAD DEL PUEBLO Y A",Regionalista Izquierda
000554,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000560,unio.cat,UNIÓ DEMOCRÀTICA DE CATALUNYA,Centro Derecha
000561,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,Izquierda
000562,ERC-CATSI,ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ,Regionalista Izquierda
000563,PP,PARTIDO POPULAR,Centro Derecha
000565,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000566,EH Bildu,EUSKAL HERRIA BILDU (EH Bildu),Regionalista Izquierda
000568,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000569,RECORTES CE,RECORTES CERO-GRUPO VERDE,Izquierda
000570,PREPAL,PARTIDO REGIONALISTA DEL PAÍS LEONÉS,Regionalista Derecha
000578,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000580,PP,PARTIDO POPULAR,Centro Derecha
000581,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000583,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Izquierda
000584,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
000585,PODEMOS,PODEMOS,Izquierda
000588,DL,DEMOCRÀCIA I LLIBERTAT. CONVERGÈNCIA. DEMÒCRATES.,Regionalista Derecha
000589,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,Centro Derecha
