Provincia,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
16,"12,123","12,932","13,638","14,518","16,023","16,987","18,35","19,812","19,77","18,959","19,587","19,863","19,54","19,566","19,36","20,663","21,288","22,164","23,222","23,241","21,672","25,348","28,408"
19,"14,406","15,921","16,959","17,579","17,935","19,263","19,749","20,539","20,965","19,591","19,778","19,687","18,989","18,484","17,691","17,794","18,678","19,985","20,914","21,655","19,815","21,774","24,052"
45,"13,063","14,164","14,67","15,653","16,049","17,557","18,777","19,742","19,724","18,532","17,844","17,254","16,425","16,325","16,273","16,982","17,629","18,217","18,94","19,308","17,804","19,714","21,991"
8,"19,38","20,798","21,513","22,485","23,586","25,117","26,688","28,112","28,335","27,016","27,119","26,698","25,961","25,975","26,628","27,849","28,906","30,188","31,073","31,903","28,432","30,588","33,369"
17,"19,517","21,408","22,806","23,554","24,6","25,449","27,504","28,13","27,846","26,596","26,772","26,168","25,545","25,202","25,692","26,721","27,792","27,361","27,864","28,643","25,331","29,732","32,829"
25,"19,23","21,049","22,494","23,785","24,398","24,396","26,668","27,89","28,39","27,615","27,544","27,231","27,041","27,463","27,801","29,091","28,316","27,461","28,29","29,386","26,556","29,554","30,863"
43,"20,226","21,97","23,728","24,375","25,96","25,448","26,476","27,469","27,654","26,518","26,997","26,403","25,539","25,457","26,151","27,832","29,105","30,395","30,427","30,643","26,378","29,817","32,15"
3,"14,14","15,391","15,868","16,4","17,216","18,054","18,901","19,313","19,384","18,144","17,881","17,21","16,425","16,346","16,875","17,635","18,474","19,327","19,798","20,263","18,339","20,334","21,622"
12,"18,402","19,504","20,011","20,407","20,808","22,55","23,992","23,807","23,492","22,257","22,405","22,764","21,469","21,644","22,025","23,661","24,744","26,989","27,201","27,746","24,497","26,829","29,198"
46,"15,276","16,613","17,562","18,284","19,138","19,886","21,248","22,61","23,079","21,712","21,786","21,506","20,629","20,594","21,115","21,862","22,198","22,795","23,825","24,397","22,104","23,967","26,009"
6,"10,472","11,198","11,917","12,738","13,28","14,745","15,534","16,723","17,475","16,896","16,891","16,545","15,662","15,742","15,71","16,731","17,297","18,349","18,706","19,102","17,844","19,029","20,308"
10,"10,52","11,333","12,137","12,841","14,144","14,672","15,736","16,673","16,909","16,489","17,049","16,585","16,442","16,511","16,633","17,435","18,158","19,461","20,499","21,163","19,222","22,653","24,724"
15,"12,722","13,634","14,825","15,812","16,963","18,336","19,678","21,26","22,051","21,594","21,857","21,36","20,548","20,621","20,607","21,843","22,71","23,331","24,319","24,84","22,743","24,627","27,625"
27,"11,835","12,924","13,497","14,44","15,477","17,359","18,661","19,592","19,968","19,179","19,985","20,083","19,899","20,19","20,939","22,265","22,354","22,468","23,579","23,836","21,271","23,529","26,662"
32,"11,159","12,3","13,398","14,158","14,803","15,909","17,063","17,981","18,819","17,897","18,515","18,766","18,595","18,417","18,508","19,284","20,206","21,035","22,03","23,276","21,005","23,878","26,119"
36,"12,672","13,611","14,137","15,128","16,376","17,434","19,036","20,494","21,205","20,048","19,72","19,172","18,53","18,673","19,086","19,932","20,46","21,815","22,157","23,013","21,304","23,251","25,185"
28,"21,177","22,875","23,904","24,973","26,394","28,02","30,136","31,555","32,125","31,364","31,059","31,147","30,566","30,264","30,776","32,275","33,35","34,592","35,601","36,613","32,853","35,703","39,207"
30,"13,679","14,704","15,531","16,376","17,152","18,178","19,274","20,228","20,636","19,383","19,479","18,957","18,444","18,502","18,606","19,901","20,402","21,128","21,393","22,015","20,108","22,087","24,334"
31,"20,562","21,747","22,841","23,848","25,096","26,586","28,111","29,307","29,937","28,569","28,487","28,279","27,184","27,213","27,704","28,761","29,556","30,631","31,19","32,136","28,987","31,486","34,749"
1,"22,134","23,917","25,679","26,841","28,472","30,538","33,477","35,813","37,165","34,115","33,818","33,921","33,082","33,371","34,287","35,074","36,915","37,808","38,711","38,631","35,283","35,924","38,591"
48,"18,605","19,474","20,565","21,845","23,073","24,749","26,141","27,546","28,81","27,922","28,342","27,849","27,224","26,85","27,56","28,852","29,532","30,047","31,099","31,944","28,583","31,265","35,478"
20,"20,046","21,983","22,769","23,506","24,922","26,396","28,823","30,538","30,72","29,132","29,564","29,458","28,781","28,283","28,443","29,424","30,149","32,136","32,913","33,9","30,179","34,099","36,916"
26,"17,965","19,093","19,791","20,933","21,689","22,851","24,361","25,488","25,954","24,741","25,035","24,748","23,961","23,898","24,586","25,594","25,713","26,585","27,47","28,04","25,654","27,365","30,26"
51,"13,367","13,813","14,68","15,593","16,358","17,135","18,107","19,051","19,584","19,077","18,532","17,986","17,094","17,229","17,123","17,757","18,155","18,262","18,923","19,577","18,184","19,661","21,303"
52,"13,35","13,708","14,478","15,57","16,65","17,256","18,066","18,495","18,8","18,284","17,661","17,144","16,035","15,981","15,999","16,506","16,979","17,051","17,531","18,073","16,776","17,891","19,501"
