Lugar de condena;Nacionalidad;Periodo;Total
13 Ciudad Real;Total;2016;3.140
13 Ciudad Real;Total;2015;3.125
13 Ciudad Real;Total;2014;3.111
13 Ciudad Real;Total;2013;3.160
14 Córdoba;Total;2023;5.381
14 Córdoba;Total;2022;6.057
14 Córdoba;Total;2021;5.906
14 Córdoba;Total;2020;4.028
14 Córdoba;Total;2019;5.734
14 Córdoba;Total;2018;5.750
14 Córdoba;Total;2017;5.377
14 Córdoba;Total;2016;5.119
14 Córdoba;Total;2015;3.730
14 Córdoba;Total;2014;3.596
14 Córdoba;Total;2013;3.969
15 Coruña, A;Total;2023;7.821
15 Coruña, A;Total;2022;8.494
15 Coruña, A;Total;2021;8.815
15 Coruña, A;Total;2020;7.079
15 Coruña, A;Total;2019;8.385
15 Coruña, A;Total;2018;7.299
15 Coruña, A;Total;2017;8.933
15 Coruña, A;Total;2016;8.226
15 Coruña, A;Total;2015;6.780
15 Coruña, A;Total;2014;6.262
15 Coruña, A;Total;2013;6.174
16 Cuenca;Total;2023;899
16 Cuenca;Total;2022;1.032
16 Cuenca;Total;2021;1.147
16 Cuenca;Total;2020;708
16 Cuenca;Total;2019;953
16 Cuenca;Total;2018;972
16 Cuenca;Total;2017;1.121
16 Cuenca;Total;2016;960
16 Cuenca;Total;2015;830
16 Cuenca;Total;2014;821
16 Cuenca;Total;2013;805
20 Gipuzkoa;Total;2023;6.189
20 Gipuzkoa;Total;2022;6.455
20 Gipuzkoa;Total;2021;6.347
20 Gipuzkoa;Total;2020;4.452
20 Gipuzkoa;Total;2019;5.749
20 Gipuzkoa;Total;2018;5.283
20 Gipuzkoa;Total;2017;4.971
20 Gipuzkoa;Total;2016;4.447
20 Gipuzkoa;Total;2015;3.190
20 Gipuzkoa;Total;2014;3.488
20 Gipuzkoa;Total;2013;3.644
17 Girona;Total;2023;6.883
17 Girona;Total;2022;6.922
17 Girona;Total;2021;6.346
17 Girona;Total;2020;4.580
17 Girona;Total;2019;6.602
17 Girona;Total;2018;6.349
17 Girona;Total;2017;5.844
17 Girona;Total;2016;5.709
17 Girona;Total;2015;5.087
17 Girona;Total;2014;4.733
17 Girona;Total;2013;4.319
18 Granada;Total;2023;8.939
18 Granada;Total;2022;9.892
18 Granada;Total;2021;9.277
18 Granada;Total;2020;6.686
18 Granada;Total;2019;8.229
18 Granada;Total;2018;8.364
18 Granada;Total;2017;7.941
18 Granada;Total;2016;7.710
18 Granada;Total;2015;5.931
18 Granada;Total;2014;5.594
18 Granada;Total;2013;5.236
19 Guadalajara;Total;2023;1.724
19 Guadalajara;Total;2022;2.051
19 Guadalajara;Total;2021;2.064
19 Guadalajara;Total;2020;1.586
19 Guadalajara;Total;2019;1.906
19 Guadalajara;Total;2018;1.655
19 Guadalajara;Total;2017;1.403
19 Guadalajara;Total;2016;1.355
19 Guadalajara;Total;2015;1.314
19 Guadalajara;Total;2014;1.283
19 Guadalajara;Total;2013;1.357
21 Huelva;Total;2023;4.300
21 Huelva;Total;2022;4.290
21 Huelva;Total;2021;4.256
21 Huelva;Total;2020;3.405
21 Huelva;Total;2019;4.455
21 Huelva;Total;2018;5.171
21 Huelva;Total;2017;4.736
21 Huelva;Total;2016;4.255
21 Huelva;Total;2015;3.638
21 Huelva;Total;2014;3.564
21 Huelva;Total;2013;3.638
22 Huesca;Total;2023;1.567
22 Huesca;Total;2022;1.622
22 Huesca;Total;2021;1.618
22 Huesca;Total;2020;1.215
22 Huesca;Total;2019;1.412
22 Huesca;Total;2018;1.406
22 Huesca;Total;2017;1.453
22 Huesca;Total;2016;1.373
22 Huesca;Total;2015;1.084
22 Huesca;Total;2014;1.040
22 Huesca;Total;2013;928
23 Jaén;Total;2023;4.868
23 Jaén;Total;2022;5.309
23 Jaén;Total;2021;5.087
23 Jaén;Total;2020;3.969
23 Jaén;Total;2019;5.247
23 Jaén;Total;2018;5.587
23 Jaén;Total;2017;5.521
23 Jaén;Total;2016;5.062
23 Jaén;Total;2015;4.182
23 Jaén;Total;2014;3.667
23 Jaén;Total;2013;3.938
24 León;Total;2023;3.303
24 León;Total;2022;3.771
24 León;Total;2021;3.390
24 León;Total;2020;2.731
24 León;Total;2019;3.398
24 León;Total;2018;3.186
24 León;Total;2017;3.476
24 León;Total;2016;2.934
24 León;Total;2015;2.164
24 León;Total;2014;2.339
24 León;Total;2013;2.323
25 Lleida;Total;2023;4.206
25 Lleida;Total;2022;4.320
25 Lleida;Total;2021;4.139
25 Lleida;Total;2020;2.549
25 Lleida;Total;2019;3.727
25 Lleida;Total;2018;3.764
25 Lleida;Total;2017;3.436
25 Lleida;Total;2016;3.348
25 Lleida;Total;2015;3.056
25 Lleida;Total;2014;2.608
25 Lleida;Total;2013;2.426
27 Lugo;Total;2023;1.885
27 Lugo;Total;2022;2.250
27 Lugo;Total;2021;2.071
27 Lugo;Total;2020;1.391
27 Lugo;Total;2019;1.801
27 Lugo;Total;2018;1.681
27 Lugo;Total;2017;1.726
27 Lugo;Total;2016;1.729
27 Lugo;Total;2015;1.435
27 Lugo;Total;2014;1.753
27 Lugo;Total;2013;1.587
28 Madrid;Total;2023;47.903
28 Madrid;Total;2022;50.268
28 Madrid;Total;2021;49.725
28 Madrid;Total;2020;38.856
28 Madrid;Total;2019;54.264
28 Madrid;Total;2018;56.063
28 Madrid;Total;2017;52.778
28 Madrid;Total;2016;46.487
28 Madrid;Total;2015;34.746
28 Madrid;Total;2014;34.146
28 Madrid;Total;2013;34.123
29 Málaga;Total;2023;16.449
29 Málaga;Total;2022;17.518
29 Málaga;Total;2021;17.190
29 Málaga;Total;2020;11.801
29 Málaga;Total;2019;15.808
29 Málaga;Total;2018;15.689
29 Málaga;Total;2017;15.277
29 Málaga;Total;2016;14.306
29 Málaga;Total;2015;11.105
29 Málaga;Total;2014;10.700
29 Málaga;Total;2013;11.096
30 Murcia;Total;2023;13.236
30 Murcia;Total;2022;14.751
30 Murcia;Total;2021;14.147
30 Murcia;Total;2020;10.411
30 Murcia;Total;2019;13.275
30 Murcia;Total;2018;13.101
30 Murcia;Total;2017;12.761
30 Murcia;Total;2016;12.812
30 Murcia;Total;2015;10.238
30 Murcia;Total;2014;9.757
30 Murcia;Total;2013;10.010
31 Navarra;Total;2023;4.426
31 Navarra;Total;2022;5.515
31 Navarra;Total;2021;4.725
31 Navarra;Total;2020;3.686
31 Navarra;Total;2019;4.940
31 Navarra;Total;2018;4.775
31 Navarra;Total;2017;4.533
31 Navarra;Total;2016;4.109
31 Navarra;Total;2015;3.481
31 Navarra;Total;2014;3.301
31 Navarra;Total;2013;3.380
32 Ourense;Total;2023;1.557
32 Ourense;Total;2022;2.126
32 Ourense;Total;2021;1.960
32 Ourense;Total;2020;1.557
32 Ourense;Total;2019;2.198
32 Ourense;Total;2018;1.859
32 Ourense;Total;2017;2.084
32 Ourense;Total;2016;1.883
32 Ourense;Total;2015;1.955
32 Ourense;Total;2014;1.839
32 Ourense;Total;2013;1.885
34 Palencia;Total;2023;1.284
34 Palencia;Total;2022;1.198
34 Palencia;Total;2021;1.173
34 Palencia;Total;2020;751
34 Palencia;Total;2019;1.130
34 Palencia;Total;2018;974
34 Palencia;Total;2017;1.053
34 Palencia;Total;2016;849
34 Palencia;Total;2015;846
34 Palencia;Total;2014;776
34 Palencia;Total;2013;894
35 Palmas, Las;Total;2023;12.501
35 Palmas, Las;Total;2022;13.314
35 Palmas, Las;Total;2021;12.341
35 Palmas, Las;Total;2020;9.071
35 Palmas, Las;Total;2019;11.001
35 Palmas, Las;Total;2018;11.091
